City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
6,Georgetown,MY,85.89,few clouds,5.4112,100.3354,Cititel Penang
9,Vung Tau,VN,84.4,heavy intensity rain,10.346,107.0843,Seaside Resort
16,Lorengau,PG,85.03,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
20,Araouane,ML,89.06,clear sky,18.9048,-3.5265,
21,Bubaque,GW,81.36,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
22,Mahajanga,MG,80.62,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
25,Dawei,MM,88.45,overcast clouds,14.0833,98.2,Hotel Dawei
33,Kunya,NG,76.78,overcast clouds,12.2233,8.5325,
37,Bambanglipuro,ID,83.3,overcast clouds,-7.95,110.2833,Puri Brata
39,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Mitsamiouli,KM,76.51,scattered clouds,-11.3847,43.2844,Foyer ADM
43,San Patricio,US,76.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
49,Mahebourg,MU,77.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
50,Butaritari,KI,82.26,broken clouds,3.0707,172.7902,Isles Sunset Lodge
56,Atuona,PF,76.86,few clouds,-9.8,-139.0333,Villa Enata
57,Kavaratti,IN,81.46,broken clouds,10.5669,72.642,Green leaf
58,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
64,Kawalu,ID,79.2,overcast clouds,-7.3817,108.2082,West Jontor
66,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
69,Faanui,PF,78.58,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
70,Phan Thiet,VN,88.3,overcast clouds,10.9333,108.1,Hotel Saigon-PT
73,Bengkulu,ID,82.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
78,Namatanai,PG,85.19,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
81,Sao Filipe,CV,77.92,broken clouds,14.8961,-24.4956,Hotel Xaguate
82,Panacan,PH,86.36,broken clouds,9.2463,118.4082,Mom's Place Resort
85,Tevaitoa,PF,77.99,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
91,Catio,GW,77.4,broken clouds,11.2833,-15.25,Pausada Morabedja
94,Manavalakurichi,IN,84.45,overcast clouds,8.1333,77.3,Jebinrio home
119,Etchoropo,MX,81.41,clear sky,26.7667,-109.6667,Campo de Andrés cruz jusaino
120,Mogadishu,SO,78.96,scattered clouds,2.0371,45.3438,Hotel Juba
132,Kirakira,SB,81.68,scattered clouds,-10.4544,161.9205,SanBiz Lodge
135,Salinopolis,BR,77.49,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
136,Jega,NG,78.3,overcast clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
