City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Belyy Yar,RU,53.6039,91.3903,40.89,60,0,4.47,clear sky
1,Bredasdorp,ZA,-34.5322,20.0403,49.51,78,53,4.79,broken clouds
2,Ushuaia,AR,-54.8,-68.3,42.46,87,0,11.5,clear sky
3,Rikitea,PF,-23.1203,-134.9692,70.32,61,91,23.91,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,37.47,87,98,11.63,light rain
5,Yellowknife,CA,62.456,-114.3525,32.56,69,100,9.22,overcast clouds
6,Georgetown,MY,5.4112,100.3354,85.89,75,20,8.05,few clouds
7,College,US,64.8569,-147.8028,44.98,72,75,3.44,broken clouds
8,Kruisfontein,ZA,-34.0033,24.7314,54.88,80,9,5.03,clear sky
9,Vung Tau,VN,10.346,107.0843,84.4,74,98,17.47,heavy intensity rain
10,Lebu,CL,-37.6167,-73.65,47.79,93,14,3.06,few clouds
11,Kalakamati,BW,-20.5929,27.3121,73.53,29,0,14.23,clear sky
12,Albany,US,42.6001,-73.9662,51.53,82,100,4.92,overcast clouds
13,Bethel,US,41.3712,-73.414,56.01,88,100,3.0,overcast clouds
14,Touros,BR,-5.1989,-35.4608,73.56,85,76,11.23,broken clouds
15,Upernavik,GL,72.7868,-56.1549,19.56,77,90,5.23,overcast clouds
16,Lorengau,PG,-2.0226,147.2712,85.03,72,86,12.46,overcast clouds
17,Sobolevo,RU,54.4299,31.8996,42.66,93,95,9.86,overcast clouds
18,Benalla,AU,-36.55,145.9833,56.86,95,100,15.3,light rain
19,Rocha,UY,-34.4833,-54.3333,48.24,91,0,3.91,clear sky
20,Araouane,ML,18.9048,-3.5265,89.06,13,1,5.64,clear sky
21,Bubaque,GW,11.2833,-15.8333,81.36,78,58,9.31,broken clouds
22,Mahajanga,MG,-15.7167,46.3167,80.62,50,0,11.5,clear sky
23,Darhan,MN,49.4867,105.9228,43.43,28,0,7.99,clear sky
24,Fairview,US,40.8126,-73.999,56.46,90,100,17.27,mist
25,Dawei,MM,14.0833,98.2,88.45,62,86,2.19,overcast clouds
26,Victoria,HK,22.2855,114.1577,93.18,72,46,8.99,scattered clouds
27,Zabid,YE,14.1951,43.3152,91.71,44,59,1.7,broken clouds
28,Omboue,GA,-1.5746,9.2618,74.75,86,87,5.23,overcast clouds
29,Ribeira Grande,PT,38.5167,-28.7,68.4,77,40,16.11,scattered clouds
30,Markova,UA,48.6758,24.4138,41.85,83,76,5.59,broken clouds
31,Chokurdakh,RU,70.6333,147.9167,25.09,80,99,5.84,overcast clouds
32,Shimoda,JP,34.6667,138.95,71.96,90,94,15.59,overcast clouds
33,Kunya,NG,12.2233,8.5325,76.78,70,99,6.02,overcast clouds
34,Vaini,TO,-21.2,-175.2,73.56,94,100,9.22,thunderstorm with rain
35,Barrow,US,71.2906,-156.7887,30.22,93,75,6.91,broken clouds
36,Saint-Philippe,RE,-21.3585,55.7679,74.79,69,37,12.35,scattered clouds
37,Bambanglipuro,ID,-7.95,110.2833,83.3,66,100,12.33,overcast clouds
38,Longyearbyen,SJ,78.2186,15.6401,39.04,70,20,13.8,few clouds
39,Kapaa,US,22.0752,-159.319,82.38,79,75,14.97,broken clouds
40,Hasaki,JP,35.7333,140.8333,64.8,88,100,26.37,overcast clouds
41,Asau,RO,46.4333,26.4,43.72,89,9,5.01,clear sky
42,Mitsamiouli,KM,-11.3847,43.2844,76.51,77,34,11.65,scattered clouds
43,San Patricio,US,28.017,-97.5169,76.89,62,8,6.15,clear sky
44,Qaanaaq,GL,77.484,-69.3632,16.63,82,100,5.86,overcast clouds
45,Cidreira,BR,-30.1811,-50.2056,58.6,87,2,6.53,clear sky
46,Farafangana,MG,-22.8167,47.8333,72.9,75,32,9.6,scattered clouds
47,Port Alfred,ZA,-33.5906,26.891,60.19,93,0,1.01,clear sky
48,Pimentel,PE,-6.8367,-79.9342,61.09,86,75,12.97,broken clouds
49,Mahebourg,MU,-20.4081,57.7,77.25,69,40,10.36,scattered clouds
50,Butaritari,KI,3.0707,172.7902,82.26,72,66,17.92,broken clouds
51,Jamestown,US,42.097,-79.2353,47.84,74,0,9.22,clear sky
52,Bluff,NZ,-46.6,168.3333,37.8,62,96,28.01,overcast clouds
53,Hobart,AU,-42.8794,147.3294,55.26,61,75,11.5,broken clouds
54,Punta Arenas,CL,-53.15,-70.9167,42.91,75,75,17.27,broken clouds
55,Hay River,CA,60.8156,-115.7999,40.98,70,75,8.05,broken clouds
56,Atuona,PF,-9.8,-139.0333,76.86,69,19,21.88,few clouds
57,Kavaratti,IN,10.5669,72.642,81.46,77,72,13.24,broken clouds
58,Acapulco,MX,16.8634,-99.8901,80.42,83,0,2.3,clear sky
59,Sundsvall,SE,62.3913,17.3063,52.97,99,100,6.91,drizzle
60,Westport,US,41.1415,-73.3579,58.37,88,100,18.41,overcast clouds
61,Elin Pelin,BG,42.6667,23.6,46.38,100,20,0.0,mist
62,La Ronge,CA,55.1001,-105.2842,53.85,58,40,10.36,smoke
63,Mar Del Plata,AR,-38.0023,-57.5575,54.95,88,0,1.99,clear sky
64,Kawalu,ID,-7.3817,108.2082,79.2,81,98,5.75,overcast clouds
65,New Norfolk,AU,-42.7826,147.0587,54.91,47,99,9.75,overcast clouds
66,Port Hedland,AU,-20.3167,118.5667,84.25,45,0,17.27,clear sky
67,Ponta Delgada,PT,37.7333,-25.6667,70.5,88,20,3.44,few clouds
68,Cape Town,ZA,-33.9258,18.4232,58.37,73,0,4.61,clear sky
69,Faanui,PF,-16.4833,-151.75,78.58,70,11,24.27,few clouds
70,Phan Thiet,VN,10.9333,108.1,88.3,62,88,14.9,overcast clouds
71,Vanavara,RU,60.34,102.2797,36.45,53,39,9.89,scattered clouds
72,Saint Anthony,US,45.0205,-93.218,65.98,64,100,6.91,overcast clouds
73,Bengkulu,ID,-3.8004,102.2655,82.56,69,100,8.23,overcast clouds
74,Hermanus,ZA,-34.4187,19.2345,49.8,76,61,5.23,broken clouds
75,Lulea,SE,65.5842,22.1547,46.47,87,75,19.57,light rain
76,Batemans Bay,AU,-35.7167,150.1833,59.09,80,100,9.86,moderate rain
77,Thompson,CA,55.7435,-97.8558,42.96,81,75,0.0,broken clouds
78,Namatanai,PG,-3.6667,152.4333,85.19,62,75,12.5,broken clouds
79,Athabasca,CA,54.7169,-113.2854,50.41,48,85,7.29,overcast clouds
80,Severo-Kurilsk,RU,50.6789,156.125,45.34,69,97,24.18,overcast clouds
81,Sao Filipe,CV,14.8961,-24.4956,77.92,78,83,0.31,broken clouds
82,Panacan,PH,9.2463,118.4082,86.36,68,84,8.9,broken clouds
83,Krasnoselkup,RU,65.7,82.4667,35.6,97,100,10.13,overcast clouds
84,Harrison,US,30.4091,-89.0436,68.07,86,0,3.44,clear sky
85,Tevaitoa,PF,-16.7833,-151.5,77.99,72,37,24.85,scattered clouds
86,Constitucion,CL,-35.3333,-72.4167,48.33,89,17,6.31,few clouds
87,Puerto Ayora,EC,-0.7393,-90.3518,65.55,94,38,4.0,scattered clouds
88,Tuatapere,NZ,-46.1333,167.6833,36.01,72,100,19.04,overcast clouds
89,Castro,BR,-24.7911,-50.0119,57.56,93,57,5.88,broken clouds
90,Guerrero Negro,MX,27.9769,-114.0611,69.67,81,4,11.83,clear sky
91,Catio,GW,11.2833,-15.25,77.4,91,58,5.66,broken clouds
92,Pevek,RU,69.7008,170.3133,27.61,70,67,6.98,broken clouds
93,Krasnoarmeysk,RU,51.0239,45.6969,53.37,88,99,7.92,overcast clouds
94,Manavalakurichi,IN,8.1333,77.3,84.45,68,99,16.98,overcast clouds
95,Englewood,US,39.6478,-104.9878,58.08,78,75,4.0,broken clouds
96,Beringovskiy,RU,63.05,179.3167,40.19,96,99,20.38,light rain
97,Clyde River,CA,70.4692,-68.5914,25.03,86,100,17.27,light snow
98,Christchurch,NZ,-43.5333,172.6333,46.6,61,75,3.44,light rain
99,Mildura,AU,-34.2,142.15,64.36,94,100,10.36,overcast clouds
100,Cascais,PT,38.6979,-9.4215,69.98,27,0,1.99,clear sky
101,Mombasa,KE,-4.0547,39.6636,73.81,83,40,3.44,scattered clouds
102,Khatanga,RU,71.9667,102.5,29.41,97,98,6.35,overcast clouds
103,Margate,GB,51.3813,1.3862,62.91,76,100,5.99,overcast clouds
104,Anadyr,RU,64.75,177.4833,37.9,93,75,20.13,light rain
105,Karlstad,SE,59.3793,13.5036,55.96,95,100,9.22,overcast clouds
106,Rio Grande,BR,-32.035,-52.0986,57.94,91,0,7.99,clear sky
107,Tasiilaq,GL,65.6145,-37.6368,32.16,62,2,6.76,clear sky
108,Ibaiti,BR,-23.8486,-50.1878,55.27,98,10,4.97,clear sky
109,Sitka,US,57.0531,-135.33,60.69,59,40,13.8,scattered clouds
110,Narsaq,GL,60.9167,-46.05,37.62,99,100,7.9,light rain
111,Ahipara,NZ,-35.1667,173.1667,57.4,84,99,16.2,overcast clouds
112,Chuy,UY,-33.6971,-53.4616,52.77,93,0,4.72,clear sky
113,Mwense,ZM,-10.3845,28.698,73.65,26,37,4.0,scattered clouds
114,Sembe,CG,1.6481,14.5806,68.54,99,100,2.3,light rain
115,Kenai,US,60.5544,-151.2583,48.15,90,100,17.27,light rain
116,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,100,20,8.05,few clouds
117,Bibiani,GH,6.4635,-2.3194,69.19,100,78,1.74,broken clouds
118,Kyabe,TD,9.4515,18.9449,71.46,94,100,3.56,overcast clouds
119,Etchoropo,MX,26.7667,-109.6667,81.41,58,0,2.15,clear sky
120,Mogadishu,SO,2.0371,45.3438,78.96,79,37,10.83,scattered clouds
121,Capreol,CA,46.706,-80.9225,52.27,100,20,6.91,few clouds
122,Vestmanna,FO,62.1564,-7.1664,47.32,87,75,18.41,light rain
123,Arraial Do Cabo,BR,-22.9661,-42.0278,68.13,86,100,4.9,overcast clouds
124,Fortuna,US,40.5982,-124.1573,58.66,83,67,1.01,broken clouds
125,Dedza,MW,-14.3779,34.3332,66.63,30,21,6.67,few clouds
126,Emilio Carranza,MX,19.9711,-96.6114,74.84,84,52,2.84,broken clouds
127,Nome,US,64.5011,-165.4064,37.47,87,0,9.22,clear sky
128,Aksu,CN,41.1231,80.2644,65.3,21,1,2.26,clear sky
129,Port Macquarie,AU,-31.4333,152.9167,63.9,59,100,9.55,heavy intensity rain
130,Iqaluit,CA,63.7506,-68.5145,33.53,100,100,2.3,overcast clouds
131,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,41,0,8.05,clear sky
132,Kirakira,SB,-10.4544,161.9205,81.68,78,32,7.23,scattered clouds
133,Busselton,AU,-33.65,115.3333,56.73,60,78,19.04,broken clouds
134,Partizanskoye,RU,55.5006,94.39,42.51,51,100,12.95,overcast clouds
135,Salinopolis,BR,-0.6136,-47.3561,77.49,80,16,7.07,few clouds
136,Jega,NG,12.2175,4.3792,78.3,75,100,5.75,overcast clouds
137,Nouakchott,MR,18.0858,-15.9785,82.33,73,72,14.56,broken clouds
138,Berlevag,NO,70.8578,29.0864,42.75,81,75,1.14,broken clouds
139,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,89,76,5.39,broken clouds
140,Cooma,AU,-36.2333,149.1333,46.17,100,75,16.11,moderate rain
141,Lerwick,GB,60.1545,-1.1494,50.0,88,100,16.69,moderate rain
142,Istok,XK,42.7808,20.4875,44.8,82,16,3.65,few clouds
143,Hithadhoo,MV,-0.6,73.0833,82.58,71,89,17.74,overcast clouds
144,Ola,RU,59.5833,151.2833,32.14,89,100,1.41,light snow
145,San Francisco,US,37.7749,-122.4194,64.45,89,20,16.11,few clouds
146,Narasannapeta,IN,18.4167,84.05,84.51,79,100,8.9,overcast clouds
147,Lompoc,US,34.6391,-120.4579,60.53,93,100,3.44,mist
148,Esperance,AU,-33.8667,121.9,63.05,76,74,20.58,broken clouds
149,Yerbogachen,RU,61.2767,108.0108,34.27,55,100,11.59,overcast clouds
150,Meulaboh,ID,4.1363,96.1285,74.88,94,100,4.74,overcast clouds
151,Katangli,RU,51.7102,143.2326,38.77,51,23,20.18,few clouds
152,Souillac,MU,-20.5167,57.5167,75.58,69,40,10.36,scattered clouds
153,Saint George,US,37.1041,-113.5841,75.94,29,0,5.75,clear sky
154,Nikolskoye,RU,59.7035,30.7861,45.81,97,71,4.09,broken clouds
155,Airai,TL,-8.9266,125.4092,71.35,73,89,1.83,overcast clouds
156,Bambous Virieux,MU,-20.3428,57.7575,77.22,69,40,10.36,scattered clouds
157,Honiara,SB,-9.4333,159.95,86.14,53,57,8.5,broken clouds
158,Peraiyur,IN,9.7358,77.7896,85.64,46,100,1.83,overcast clouds
159,Acarau,BR,-2.8856,-40.12,77.02,80,56,17.11,broken clouds
160,Xuddur,SO,4.1213,43.8894,76.87,62,51,10.83,broken clouds
161,Douentza,ML,14.9951,-2.9517,84.02,54,7,3.94,clear sky
162,Kavieng,PG,-2.5744,150.7967,84.81,65,61,16.02,broken clouds
163,Boa Vista,BR,2.8197,-60.6733,78.78,78,0,6.91,clear sky
164,Arlit,NE,18.7369,7.3853,87.01,17,0,9.64,clear sky
165,Tilichiki,RU,60.4667,166.1,44.1,96,100,17.67,moderate rain
166,Dongning,CN,44.0622,131.1207,49.55,26,12,11.48,few clouds
167,Hilo,US,19.7297,-155.09,80.33,80,100,1.99,overcast clouds
168,Port Hardy,CA,50.6996,-127.4199,55.58,94,75,2.3,broken clouds
169,Lata,PT,40.1629,-8.3327,53.92,61,0,2.77,clear sky
170,Dikson,RU,73.5069,80.5464,31.86,78,100,15.95,overcast clouds
171,Zaozerne,UA,45.1582,33.2787,58.53,59,2,4.54,clear sky
172,Jiangyin,CN,31.9282,120.3126,62.98,63,100,9.73,light rain
173,Port Elizabeth,ZA,-33.918,25.5701,60.31,87,75,11.5,broken clouds
174,Japura,ID,-0.3167,102.35,74.7,97,100,1.99,moderate rain
175,Lethem,GY,3.3803,-59.7968,76.39,80,81,4.76,broken clouds
176,Magadan,RU,59.5667,150.8,31.53,72,99,7.52,overcast clouds
177,Shinpokh,PK,34.3292,71.1782,86.34,31,0,1.12,clear sky
178,Areosa,PT,41.7178,-8.8571,59.74,73,1,2.77,clear sky
179,Grand-Santi,GF,4.25,-54.3833,71.69,99,79,1.92,broken clouds
180,Domzale,SI,46.1377,14.5937,52.81,95,100,1.14,overcast clouds
181,Imbituba,BR,-28.24,-48.6703,55.6,85,29,3.47,scattered clouds
182,Hirara,JP,24.8,125.2833,86.27,70,40,11.5,scattered clouds
183,Mansa,IN,29.9833,75.3833,86.61,51,0,4.97,clear sky
184,Caconda,AO,-13.7333,15.0667,59.4,76,4,1.1,clear sky
185,Auki,SB,-8.7676,160.7034,84.92,61,13,9.15,few clouds
186,Klaksvik,FO,62.2266,-6.589,49.12,88,31,33.42,light rain
187,Maumere,ID,-8.6199,122.2111,85.28,68,85,2.73,overcast clouds
188,Tazovskiy,RU,67.4667,78.7,35.4,90,100,19.39,overcast clouds
189,Port Augusta,AU,-32.5,137.7667,80.62,30,11,11.1,few clouds
190,Mishan,CN,45.55,131.8833,48.07,25,39,12.57,scattered clouds
191,Lavrentiya,RU,65.5833,-171.0,34.43,77,9,5.21,clear sky
192,Olinda,BR,-8.0089,-34.8553,76.73,73,40,4.61,scattered clouds
193,Pisco,PE,-13.7,-76.2167,55.45,82,20,2.3,few clouds
194,Saskylakh,RU,71.9167,114.0833,27.0,96,100,9.26,light snow
195,Morondava,MG,-20.2833,44.2833,76.73,66,0,3.02,clear sky
196,Nakamura,JP,32.9833,132.9333,76.19,83,83,4.18,broken clouds
197,Lake City,US,30.1897,-82.6393,53.85,93,0,0.0,clear sky
198,Zlitan,LY,32.4674,14.5687,73.72,64,12,11.65,few clouds
199,Dossor,KZ,47.5272,52.9811,57.96,28,76,20.11,broken clouds
200,Tubuala,PA,9.5167,-79.0333,80.2,83,100,6.35,overcast clouds
201,Portland,US,45.5234,-122.6762,60.94,89,0,3.44,clear sky
202,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,50,20,22.37,few clouds
203,Manado,ID,1.487,124.8455,88.57,70,40,9.22,scattered clouds
204,Russellville,US,35.2784,-93.1338,60.98,63,0,0.0,clear sky
205,Maceio,BR,-9.6658,-35.7353,69.24,100,20,3.44,few clouds
206,Salalah,OM,17.0151,54.0924,80.69,78,75,4.61,broken clouds
207,Norman Wells,CA,65.282,-126.8329,39.24,81,100,14.97,overcast clouds
208,Ancud,CL,-41.8697,-73.8203,46.26,92,17,5.59,few clouds
209,Banda Aceh,ID,5.5577,95.3222,80.73,80,99,9.28,overcast clouds
210,Anloga,GH,5.7947,0.8973,77.04,89,76,10.42,broken clouds
211,Augustdorf,DE,51.9094,8.7317,54.36,84,98,6.98,overcast clouds
212,Nabire,ID,-3.3667,135.4833,85.51,65,100,4.68,overcast clouds
213,Gamba,GA,-2.65,10.0,74.88,85,96,4.88,overcast clouds
214,Rawson,AR,-43.3002,-65.1023,58.64,46,72,16.37,broken clouds
215,Carnarvon,AU,-24.8667,113.6333,72.12,56,19,14.81,few clouds
216,Wiarton,CA,44.7407,-81.1332,48.49,100,20,3.44,few clouds
217,Teya,RU,60.3778,92.6267,35.33,90,100,8.16,light snow
218,Miranda,CO,3.2499,-76.2281,62.73,93,100,2.95,overcast clouds
219,Grand Gaube,MU,-20.0064,57.6608,77.38,63,80,10.0,broken clouds
220,East London,ZA,-33.0153,27.9116,65.34,77,0,5.75,clear sky
221,Mandalgovi,MN,45.7625,106.2708,41.05,19,85,5.77,overcast clouds
222,Vila Velha,BR,-20.3297,-40.2925,69.75,97,0,4.61,moderate rain
223,Manadhoo,MV,5.7667,73.3833,81.25,79,100,16.53,overcast clouds
224,Bria,CF,6.5423,21.9863,69.71,97,95,2.44,overcast clouds
225,Labuan,MY,5.2767,115.2417,88.16,70,20,3.44,few clouds
226,Komsomolskiy,UZ,40.4272,71.7189,68.72,24,1,4.61,clear sky
227,Muros,ES,42.7762,-9.0603,57.09,95,4,5.26,clear sky
228,Cabo San Lucas,MX,22.8909,-109.9124,81.52,83,2,5.08,clear sky
